Input00Weight,Input01Weight,Input02Weight,Input10Weight,Input11Weight,Input12Weight,InputBias00Weight,InputBias01Weight,InputBias02Weight,Hidden000Weight,Hidden010Weight,Hidden020Weight,Hidden0Bias0Weight,Expected,Learned,Error
-153,198,-151,-141,337,255,330,236,41,-51,442,171,-14,256,246,0
-153,198,-151,-141,337,255,330,236,41,-51,442,171,-14,256,246,0
-153,197,-154,-141,336,252,330,235,38,-52,436,168,-20,0,245,234
-154,197,-154,-141,335,250,329,235,38,-51,437,163,-19,256,204,10
-156,196,-153,-141,333,248,327,234,39,-50,439,157,-16,256,207,9
-156,196,-153,-141,333,248,327,234,39,-50,439,157,-16,256,245,0
-156,196,-153,-141,333,248,327,234,39,-50,439,157,-16,256,245,0
-158,195,-153,-141,331,246,326,216,27,-67,426,150,-35,0,202,159
-158,195,-153,-141,331,246,326,216,27,-67,426,150,-35,256,240,1
-159,192,-157,-140,328,240,325,205,17,-77,411,141,-53,0,239,223
-159,188,-165,-138,324,230,325,196,5,-86,391,131,-75,0,232,210
-160,185,-170,-138,321,224,323,190,-2,-91,381,126,-86,256,222,4
-161,182,-174,-138,318,220,323,171,-15,-109,363,122,-111,0,70,19
-155,178,-188,-130,314,206,330,159,-34,-121,331,116,-147,0,191,142
-153,175,-196,-132,313,204,327,153,-39,-116,333,124,-146,256,137,55
-173,195,-186,-133,311,202,304,172,-29,-75,390,77,-81,256,-20,297
-183,204,-182,-135,309,200,292,163,-30,-69,408,54,-66,0,69,18
-193,212,-180,-137,307,198,281,162,-31,-61,427,32,-46,256,182,21
-197,215,-181,-137,304,194,276,159,-35,-55,426,19,-47,0,231,208
-200,216,-182,-139,301,191,271,156,-38,-51,428,11,-45,256,221,4
-204,217,-184,-140,298,188,266,154,-41,-49,430,3,-42,256,215,6
-207,217,-186,-142,295,185,263,122,-45,-67,418,1,-66,0,131,67
-212,219,-188,-144,292,182,258,107,-48,-75,416,-5,-73,256,202,11
-216,220,-190,-146,289,179,254,86,-51,-87,410,-8,-87,0,31,3
-219,220,-192,-151,288,175,248,76,-55,-91,413,-8,-87,256,187,18
-219,219,-194,-152,285,172,247,68,-58,-89,400,-6,-101,0,226,199
-216,216,-196,-150,280,169,249,61,-61,-83,378,-1,-123,0,219,187
-215,213,-198,-156,282,165,243,62,-65,-74,381,8,-117,256,148,45
-215,210,-200,-159,282,162,237,85,-68,-57,384,7,-99,0,-79,24
-215,210,-200,-159,282,162,237,85,-68,-57,384,7,-99,0,-22,1
-218,213,-202,-162,282,159,230,102,-71,-48,395,-4,-78,256,168,30
-220,213,-204,-167,283,155,223,112,-75,-42,405,-10,-61,256,196,14
-222,213,-206,-171,283,152,219,96,-78,-51,403,-10,-69,0,71,19
-223,212,-208,-173,282,149,217,87,-81,-49,389,-5,-85,0,226,199
-224,209,-210,-174,279,146,216,79,-84,-40,366,4,-110,0,218,185
-226,206,-212,-176,276,143,213,84,-87,-31,355,5,-117,0,-32,4
-228,203,-214,-180,277,140,208,89,-90,-26,359,7,-109,256,162,34
-230,200,-216,-185,279,137,202,94,-93,-23,370,10,-94,256,170,28
-234,203,-218,-189,280,134,196,102,-96,-24,385,-1,-74,256,165,32
-237,201,-220,-192,278,131,192,104,-99,-14,376,2,-80,0,216,182
-240,200,-222,-195,277,128,189,89,-103,-18,366,6,-95,0,50,9
-243,196,-225,-198,273,124,186,79,-107,-6,340,20,-124,0,199,154
-246,193,-228,-202,275,122,182,78,-109,-2,341,28,-123,256,150,43
-249,190,-231,-205,275,120,178,87,-111,5,341,28,-116,0,-38,5
-253,184,-236,-209,272,116,174,87,-115,27,317,45,-138,0,160,100
-256,180,-240,-212,270,113,171,97,-117,43,308,48,-140,0,-40,6
-252,200,-241,-215,268,110,175,125,-117,35,341,4,-92,256,44,175
-251,209,-243,-217,268,107,177,141,-118,30,366,-19,-58,256,172,27
-251,214,-245,-219,268,103,178,151,-120,25,384,-35,-33,256,200,12
-251,216,-247,-221,268,99,178,157,-123,20,396,-46,-17,256,216,6
-252,216,-249,-224,267,96,177,159,-126,24,392,-45,-19,0,232,210
-253,216,-251,-227,266,92,176,160,-130,24,391,-47,-17,256,222,4
-255,216,-253,-230,264,89,172,135,-130,10,376,-38,-40,0,184,132
-257,216,-255,-233,262,85,169,122,-132,2,369,-36,-49,256,212,7
-259,217,-258,-236,260,82,166,114,-134,-5,367,-39,-53,256,210,8
-261,216,-261,-239,257,79,163,108,-136,2,351,-30,-70,0,222,192
-263,215,-264,-242,254,76,159,83,-137,-6,334,-19,-98,0,79,24
-263,215,-264,-242,254,76,159,83,-137,-6,334,-19,-98,0,9,0
-266,218,-268,-245,251,73,155,74,-140,-16,335,-27,-101,256,163,33
-269,218,-271,-249,252,68,151,71,-145,-27,344,-35,-92,256,163,33
-273,222,-275,-252,251,64,147,72,-150,-39,355,-49,-80,256,182,21
-277,226,-279,-255,250,61,143,73,-155,-49,364,-63,-69,256,199,12
-280,227,-282,-258,247,58,140,72,-159,-45,357,-61,-76,0,230,206
-283,225,-285,-261,242,55,137,69,-162,-33,341,-50,-93,0,227,201
-287,227,-289,-264,238,52,133,69,-166,-31,338,-53,-96,256,189,17
-291,230,-293,-267,235,49,129,71,-170,-35,341,-63,-93,256,188,18
-294,229,-296,-270,230,46,126,70,-173,-23,326,-55,-109,0,218,185
-297,226,-299,-273,224,43,123,67,-176,-1,299,-35,-137,0,202,159
-300,220,-302,-276,217,40,120,61,-179,33,260,-2,-177,0,155,93
-303,216,-305,-279,212,37,119,76,-183,59,242,2,-179,0,-97,36
-303,216,-305,-279,212,37,119,76,-183,59,242,2,-179,0,-6,0
-297,235,-308,-282,208,34,126,104,-186,31,286,-61,-114,256,-22,301
-296,241,-311,-286,203,31,127,116,-189,41,282,-70,-108,0,160,100
-296,245,-314,-287,206,23,129,130,-197,31,301,-92,-78,256,129,63
-296,247,-317,-289,209,15,130,140,-205,20,318,-111,-53,256,176,25
-296,248,-320,-291,211,8,130,146,-212,10,331,-126,-36,256,204,10
-297,247,-323,-294,211,3,129,148,-217,13,327,-127,-38,0,233,212
-298,246,-326,-297,211,-1,127,127,-215,2,313,-113,-62,0,178,123
-301,243,-329,-301,210,-4,124,115,-215,8,292,-95,-89,0,224,196
-304,240,-332,-304,209,-7,120,87,-211,0,271,-72,-126,0,94,34
-307,235,-335,-307,205,-10,117,70,-209,18,234,-37,-171,0,169,111
-310,231,-338,-310,202,-13,114,73,-210,33,217,-31,-180,0,-76,22
-313,228,-341,-309,220,-21,115,93,-216,-3,257,-73,-122,256,-11,278
-316,223,-344,-310,226,-26,114,101,-220,2,251,-71,-119,0,165,106
-316,223,-344,-310,226,-26,114,101,-220,2,251,-71,-119,0,22,1
-316,223,-344,-310,226,-26,114,101,-220,2,251,-71,-119,0,22,1
-320,217,-347,-312,228,-30,112,104,-223,24,226,-49,-140,0,161,101
-323,213,-350,-312,238,-37,112,114,-230,7,248,-71,-109,256,71,133
-326,215,-354,-313,243,-42,111,124,-236,-14,273,-100,-77,256,144,49
-329,215,-357,-315,246,-48,109,130,-242,-32,292,-123,-53,256,192,16
-333,215,-361,-317,247,-52,106,133,-247,-45,303,-139,-37,256,222,4
-336,215,-364,-320,247,-56,102,134,-252,-55,310,-151,-27,256,230,2
-336,215,-364,-320,247,-56,102,134,-252,-55,310,-151,-27,256,237,1
-336,215,-364,-320,247,-56,102,134,-252,-55,310,-151,-27,256,237,1
-336,215,-364,-320,247,-56,102,134,-252,-55,310,-151,-27,256,235,1
-336,215,-364,-320,247,-56,102,134,-252,-55,310,-151,-27,256,235,1
-339,215,-367,-323,247,-59,103,111,-250,-70,301,-141,-45,0,173,116
-342,215,-370,-326,247,-62,107,74,-245,-89,286,-119,-79,0,136,72
-345,214,-373,-329,246,-65,109,52,-243,-90,267,-98,-109,0,233,212
-345,214,-373,-329,246,-65,109,52,-243,-90,267,-98,-109,0,-21,1
